id,placement,chars,sylls,morphs,freq
aa0,80,6.01328903654485,1.9036544850498338,1.6611295681063123,498076.39867109637
aa1,66,5.957446808510638,1.851063829787234,1.5319148936170213,657677.7234042553
ab8,40,5.813186813186813,1.8131868131868132,1.5164835164835164,375383.34065934067
ac3,65,5.977225672877847,1.8074534161490683,1.5238095238095237,419317.58799171844
ad4,72,6.264094955489615,1.9258160237388724,1.688427299703264,345658.44807121664
ad9,56,5.819354838709677,1.7225806451612904,1.5741935483870968,375747.2387096774
ae0,61,4.993957703927492,1.5347432024169185,1.3474320241691844,1087512.2839879154
ae2,81,6.32348367029549,1.9821150855365475,1.6944012441679628,403618.4370139969
ae4,69,5.225058004640371,1.6809744779582367,1.4501160092807424,788535.8410672854
ae9,71,5.638036809815951,1.7546012269938651,1.469325153374233,586251.126789366
ag2,72,6.034883720930233,1.9767441860465116,1.7209302325581395,418472.37209302327
ag7,48,6.025510204081633,1.8214285714285714,1.596938775510204,440188.67346938775
ai1,46,5.64468085106383,1.7170212765957447,1.578723404255319,538304.0978723405
ai7,56,5.993103448275862,1.806896551724138,1.606896551724138,491475.2689655172
ak0,60,6.596899224806202,2.0697674418604652,1.627906976744186,233171.56589147286
al0,48,5.2072538860103625,1.5829015544041452,1.4792746113989637,513483.84974093264
am1,48,6.647058823529412,2.0220588235294117,1.6470588235294117,388708.2573529412
an1,56,5.814159292035399,1.8023598820058997,1.4734513274336283,494941.4867256637
ao2,55,6.389732844421163,1.9947616553169198,1.6951283394447354,527445.4075432164
ao4,47,6.005208333333333,1.7734375,1.3307291666666667,558134.1223958334
ap5,53,5.869186046511628,1.7994186046511629,1.5436046511627908,663455.2703488372
aq7,71,5.357859531772576,1.5518394648829432,1.3879598662207357,536740.6622073578
ar0,42,5.5588235294117645,1.7647058823529411,1.5294117647058822,553864.1764705882
at1,68,5.5,1.6517094017094016,1.4188034188034189,436453.1303418803
at2,77,6.26578073089701,1.9800664451827243,1.6744186046511629,496661.5315614618
av8,71,6.097087378640777,1.883495145631068,1.5242718446601942,650126
aw4,42,5.291390728476821,1.609271523178808,1.4966887417218544,466488.2913907285
aw5,55,5.69375,1.7,1.54375,412513.70625
ax3,45,6.142307692307693,1.8038461538461539,1.426923076923077,644984.5884615384
ax6,71,5.854285714285714,1.8628571428571428,1.5514285714285714,618159.9
ay7,45,5.3762541806020065,1.6354515050167224,1.4264214046822743,678992.8762541806
az6,68,5.997041420118343,1.8668639053254439,1.6272189349112427,546010.3106508875
ba0,43,5.782894736842105,1.6842105263157894,1.7236842105263157,513008.28289473685
bc4,43,5.218181818181818,1.5636363636363637,1.4272727272727272,709492.9636363636
bd0,47,4.867109634551495,1.4651162790697674,1.388704318936877,863720.3521594685
bd4,48,5.153846153846154,1.6428571428571428,1.3461538461538463,714084.6593406594
be4,65,5.481481481481482,1.5757575757575757,1.5218855218855218,678821.2356902357
bf7,51,5.764331210191083,1.713375796178344,1.5605095541401275,390376.7261146497
bf9,61,5.162079510703364,1.5749235474006116,1.382262996941896,546596.4556574924
bh1,45,8.071428571428571,2.657142857142857,1.9714285714285715,269049.28571428574
bh2,60,5.913151364764268,1.7332506203473945,1.5769230769230769,504855.36104218365
bh3,71,6.151315789473684,1.9100877192982457,1.6754385964912282,430955.3092105263
bi0,41,5.754838709677419,1.7096774193548387,1.5612903225806452,374116.31612903223
bi3,45,5.970338983050848,1.847457627118644,1.5127118644067796,477924.8601694915
bi4,57,6.747368421052632,2.0894736842105264,1.7947368421052632,419832.9421052632
bj4,46,6.090909090909091,1.9333333333333333,1.6242424242424243,325684.6848484849
bk7,63,6.127083333333333,1.8583333333333334,1.6875,478099.3541666667
bl4,48,6,1.9105058365758756,1.5252918287937742,484880.4552529183
bl7,55,5.951205510907004,1.8846153846153846,1.5269804822043629,543467.9942594719
bm8,42,5.294117647058823,1.803921568627451,1.411764705882353,581349.5294117647
bn5,39,5.7304964539007095,1.8085106382978724,1.6170212765957446,510069.2056737589
bp2,65,5.478119935170178,1.6693679092382496,1.505672609400324,731707.1142625607
bp4,48,5.538095238095238,1.7095238095238094,1.438095238095238,553020.4857142858
bp5,70,6.195454545454545,1.839090909090909,1.6318181818181818,411859.38727272727
bq3,84,5.705882352941177,1.7647058823529411,1.5,542921.5514705882
br3,78,6.004716981132075,1.9528301886792452,1.6415094339622642,941771.8490566037
br6,70,5.492932862190813,1.6890459363957597,1.4858657243816253,686080.3922261484
br7,79,6.409166206515737,2.031474323578134,1.6703478741027056,394209.18221976806
bs5,57,5.607142857142857,1.75,1.375,307721.25
bu6,48,5.475409836065574,1.6612021857923498,1.4863387978142077,566256.1967213114
bv0,78,6.382947976878612,2.041329479768786,1.7303468208092485,479209.1514450867
bw2,64,5.527075812274369,1.7148014440433212,1.476534296028881,585646.4151624548
bw9,64,5.90512174643157,1.8975650713685979,1.6078925272879934,648661.5121746431
bx5,40,5.089743589743589,1.705128205128205,1.4102564102564104,674937.6794871795
bx6,56,5.426751592356688,1.6624203821656052,1.3821656050955413,613357.0445859872
by2,64,5.695121951219512,1.75,1.5060975609756098,592399.1585365854
by6,55,4.942583732057416,1.430622009569378,1.3827751196172249,704302.5119617225
bz1,62,5.7813826561552455,1.7822922983626441,1.533353547604609,600542.7428744694
bz2,48,5.451298701298701,1.5811688311688312,1.3766233766233766,609647.3198051949
ca4,77,5.8478260869565215,1.7916666666666667,1.5443840579710144,577149.1585144928
cb0,69,5.5009174311926605,1.6990825688073394,1.453211009174312,786881.3247706422
cc1,58,5.4914529914529915,1.7478632478632479,1.4914529914529915,550029.9700854701
cc6,74,5.899456521739131,1.8967391304347827,1.6983695652173914,499849.48369565216
cd2,58,5.771598808341609,1.817279046673287,1.451837140019861,623784.8301886793
cd8,56,6.345238095238095,1.9702380952380953,1.7202380952380953,341102.10714285716
ce7,41,5.483050847457627,1.6779661016949152,1.4830508474576272,763776.2881355932
cg1,47,5.788359788359788,1.7777777777777777,1.5502645502645502,482661.873015873
cg2,72,5.581632653061225,1.7011661807580174,1.4810495626822158,691751.112244898
ch4,60,6.082802547770701,1.9235668789808917,1.5732484076433122,623860.0923566879
ci2,58,6.1764377442769405,1.9380234505862646,1.6945840312674483,523764.2238972641
ci5,64,6.184448462929476,1.9891500904159132,1.6799276672694394,382220.7631103074
ci9,61,5.97610513739546,1.8434886499402627,1.5675029868578256,328685.651135006
cj2,55,5.7290322580645165,1.7032258064516128,1.5548387096774194,418172.72903225804
cj3,78,5.9068627450980395,1.75,1.5686274509803921,503465.3333333333
cj5,64,6.152442613301942,1.9205414949970572,1.575632725132431,427901.017068864
ck1,58,5.828571428571428,1.7657142857142858,1.48,427861.24
ck4,63,6.201170835550825,1.9622139435870143,1.71953166577967,505983.2213943587
ck9,79,5.796199524940618,1.8451306413301662,1.4954869358669833,526474.3439429929
cl1,65,6.251461988304094,1.9181286549707601,1.5146198830409356,484701.0350877193
cl7,43,5.745664739884393,1.8323699421965318,1.5780346820809248,638727.225433526
cm4,65,5.690476190476191,1.816326530612245,1.435374149659864,540108.8435374149
cm9,53,5.975409836065574,1.8530444964871193,1.6352459016393444,568616.2558548009
cn7,53,5.483221476510067,1.657718120805369,1.436241610738255,841874.4832214765
cn9,70,5.760831122900089,1.7966401414677278,1.4531388152077807,578499.9867374005
co1,42,5.199275362318841,1.6268115942028984,1.358695652173913,579234.6304347826
co4,48,5.122950819672131,1.5819672131147542,1.3524590163934427,563372.7868852459
cp4,39,5.225,1.6625,1.2875,1002005.4125
cp5,47,5.380645161290323,1.6150537634408602,1.3870967741935485,758516.888172043
cp8,70,6.266045548654244,1.9855072463768115,1.6635610766045548,525343.5600414078
cq4,43,6.787878787878788,2.0303030303030303,1.6666666666666667,243987.27272727274
cr1,37,5.750819672131148,1.8770491803278688,1.5754098360655737,565468.1786885246
cr9,58,5.132231404958677,1.578512396694215,1.4049586776859504,674503.8099173554
cs5,42,5.785714285714286,1.7207792207792207,1.5714285714285714,377929.33116883115
cs6,37,5.177570093457944,1.6822429906542056,1.3457943925233644,1014819.2803738317
cs7,48,5.593220338983051,1.7542372881355932,1.4915254237288136,643531.4322033898
ct0,67,6.516260162601626,1.991869918699187,1.7886178861788617,478647.1219512195
ct4,38,5.5036496350364965,1.6131386861313868,1.467153284671533,425072.8321167883
ct9,68,5.798349056603773,1.8349056603773586,1.5106132075471699,450482.5341981132
cu0,44,6.383838383838384,1.9444444444444444,1.8434343434343434,670918.1161616162
cu2,72,5.7013258897418,1.7808792742498256,1.5432658757850664,579700.2780879274
cu4,51,5.534246575342466,1.6369863013698631,1.5273972602739727,346951.1438356164
cu8,42,5.234794908062235,1.6025459688826025,1.3493635077793493,543401.7850070721
cu9,46,5.288659793814433,1.5051546391752577,1.268041237113402,480879.8453608247
cv1,85,6.1875993640699525,1.945945945945946,1.6899841017488075,494967.279809221
cv8,80,5.357142857142857,1.6984126984126984,1.5317460317460319,822990.1349206349
cx0,81,5.2490915097456226,1.5553353154938883,1.3878427485959697,714039.0125536835
cy6,51,5.501089324618737,1.7145969498910676,1.5054466230936818,802623.3769063181
cz6,44,5.518518518518518,1.75,1.3333333333333333,624281.75
cz8,69,5.13,1.45,1.325,689812.89
da6,43,5.795321637426901,1.760233918128655,1.6198830409356726,400518.63157894736
db4,42,5.544802867383512,1.7132616487455197,1.4372759856630823,342636.5698924731
db8,46,6.486288848263254,2.025594149908592,1.647166361974406,659450.6709323584
dc6,66,6.194331983805668,2.0418353576248314,1.6117858749437697,615879.8173639226
dd3,60,5.854619565217392,1.7880434782608696,1.591032608695652,453722.2581521739
de4,48,5.780645161290322,1.7096774193548387,1.5677419354838709,353344.4516129032
de5,62,6.1785095320623915,1.919844020797227,1.6837088388214905,461187.57625649916
dg0,43,5.258620689655173,1.6120689655172413,1.3362068965517242,657333.0086206896
dg6,83,5.787119856887299,1.813953488372093,1.556350626118068,508648.38640429336
dg9,75,5.941888619854722,1.8692493946731235,1.5835351089588379,555502.5447941888
dh1,43,5.121495327102804,1.514018691588785,1.3177570093457944,579251.9719626168
dh8,66,5.728070175438597,1.780701754385965,1.5321637426900585,598192.8771929825
dh9,70,5.909090909090909,1.801980198019802,1.5463546354635465,318818.50585058506
di2,51,5.849462365591398,1.7670250896057347,1.5125448028673836,428880.2598566308
di3,70,6.064857405703772,1.8785648574057037,1.5717571297148114,387630.0078196872
di7,74,6.026236125126135,1.8405650857719476,1.5529767911200807,417395.48335015133
dj5,64,5.485576923076923,1.6971153846153846,1.4711538461538463,750101.7788461539
dk0,75,5.3493150684931505,1.5034246575342465,1.4246575342465753,536212.8116438356
dk3,65,6.037037037037037,1.9567901234567902,1.4814814814814814,547375.1172839506
dk6,48,5.144736842105263,1.6710526315789473,1.4473684210526316,623108.9078947369
dm2,72,6.341991341991342,1.9783549783549783,1.6948051948051948,322484.45454545453
dn0,65,5.715339233038348,1.7433628318584071,1.5206489675516224,613364.8407079646
dn2,42,5.437113402061856,1.6432989690721649,1.4103092783505156,601911.7319587629
dn4,74,6.006125574272588,1.877488514548239,1.5987748851454824,591248.7764165391
dn5,36,5.2987551867219915,1.6639004149377594,1.3651452282157677,774836.3070539419
do0,63,5.419795221843003,1.6245733788395904,1.4300341296928327,513941.9180887372
do1,45,4.690476190476191,1.4761904761904763,1.380952380952381,1379695.511904762
do3,48,5.5556621880998085,1.6554702495201536,1.4808061420345489,506560.0604606526
do7,61,6.235023041474655,1.8525345622119815,1.631336405529954,525048.4377880185
do9,32,5.6568627450980395,1.7647058823529411,1.3529411764705883,705167.0784313725
dp2,56,5.79445727482679,1.8937644341801385,1.5427251732101617,564988.1316397229
dr1,69,4.927272727272728,1.5818181818181818,1.2727272727272727,1164006.7454545454
ds0,83,6.2746913580246915,1.9660493827160495,1.7037037037037037,439823.1913580247
ds3,39,5.898305084745763,1.7401129943502824,1.4406779661016949,501329.97740112996
ds6,59,6.298245614035087,2.046783625730994,1.6257309941520468,641728.9122807018
ds9,62,5.810218978102189,1.7007299270072993,1.6313868613138687,602409.605839416
dt5,48,7.166666666666667,2.1979166666666665,1.7395833333333333,257787.20833333334
du3,56,5.583333333333333,1.7348484848484849,1.5378787878787878,679727.0757575758
du8,62,5.535714285714286,1.846938775510204,1.5051020408163265,895907.9642857143
du9,73,6.163333333333333,1.8533333333333333,1.5766666666666667,398933.7766666667
dv7,58,5.984894259818731,1.8851963746223566,1.5649546827794563,426331.166163142
dv8,61,6.526970954356846,2.044260027662517,1.7040110650069156,365036.13001383125
dw2,53,6.268817204301075,1.956989247311828,1.7096774193548387,500605.6989247312
dx4,37,6.233766233766234,1.9545454545454546,1.655844155844156,471619.5
dx5,56,5.839687194525904,1.8201368523949168,1.6080156402737047,545965.8875855327
dx6,51,5.412790697674419,1.6424418604651163,1.3953488372093024,842617.9244186047
dx9,65,6.392857142857143,1.9928571428571429,1.7,397339.3214285714
dz1,58,5.784584980237154,1.7727272727272727,1.5138339920948616,615569.7213438735
ea9,45,6.173260572987722,1.8731241473396998,1.5184174624829467,357380.94952251023
ec5,51,5.62962962962963,1.7222222222222223,1.462962962962963,273516.51851851854
ed3,44,6.021444695259594,1.9413092550790068,1.5575620767494356,564633.6613995485
ee5,56,6.0398582816651905,1.8556244464127547,1.6217891939769709,513655.29317980516
ee9,67,6.139601139601139,1.9202279202279202,1.5698005698005697,618804.0484330484
ef0,72,5.209039548022599,1.5951035781544256,1.4199623352165724,693856.8474576271
ef6,55,6.61698717948718,2.1426282051282053,1.732371794871795,472854.10576923075
eg2,70,5.321070234113712,1.6070234113712374,1.4096989966555185,698428.6822742475
eh0,70,6.131868131868132,1.8846153846153846,1.6373626373626373,452530.18131868134
eh4,81,6.084507042253521,1.8435054773082942,1.594679186228482,481653.661971831
ei0,80,5.021327014218009,1.457345971563981,1.3744075829383886,791951.289099526
ei2,57,5.618790496760259,1.787257019438445,1.4524838012958963,687253.9956803456
ej5,69,6.263795423956932,1.965006729475101,1.6339165545087484,389296.2247644684
ej8,53,5.775,1.725,1.575,403891
ek6,48,6.153846153846154,1.8269230769230769,1.7115384615384615,463669.4038461539
el9,71,6.150326797385621,1.8867102396514162,1.6209150326797386,607938.0958605665
em5,48,3.75,1.25,1.125,165138.5
en1,68,6.198776758409786,2.0244648318042815,1.6024464831804281,516894.0917431193
en8,51,5.971264367816092,1.9195402298850575,1.5833333333333333,584960.8793103448
eo5,81,6.249457700650759,1.8915401301518437,1.6919739696312364,498155.96095444687
eo8,70,5.938461538461539,1.9,1.5769230769230769,797396.5692307692
eq2,38,5.482093663911845,1.5922865013774106,1.4325068870523416,563915.782369146
er2,44,5.82258064516129,1.8306451612903225,1.3870967741935485,638029.4112903225
er3,53,5.666867833433916,1.7585998792999396,1.515992757996379,541824.171997586
er5,61,5.709897610921502,1.7175767918088738,1.5110921501706485,607396.9462457338
es4,71,5.8369497830130195,1.8109113453192809,1.602603843769374,535785.4934903906
es6,59,5.280487804878049,1.6926829268292682,1.3878048780487804,817537.9195121952
et4,59,5.026315789473684,1.4657894736842105,1.2657894736842106,1020303.1342105264
eu5,71,5.666666666666667,1.7096774193548387,1.4731182795698925,620205.4086021505
eu9,60,5.270440251572327,1.4842767295597483,1.3836477987421383,706241.1194968553
ew7,48,5.713286713286713,1.7412587412587412,1.5384615384615385,412210.8321678322
ew9,60,5.677083333333333,1.8541666666666667,1.46875,747042.7604166666
ey8,39,5.849785407725322,1.759656652360515,1.296137339055794,497481.364806867
ez5,64,5.514728682170543,1.669767441860465,1.4465116279069767,536278.4635658915
ez6,46,5.5479452054794525,1.6986301369863013,1.4735812133072408,585511.2544031311
fe4,37,4.635135135135135,1.3783783783783783,1.2027027027027026,799730.0810810811
fe9,75,5.8760683760683765,1.8632478632478633,1.5726495726495726,452013.1794871795
ff2,63,5.543656207366985,1.6289222373806276,1.4672578444747613,572258.502728513
fh1,44,4.927927927927928,1.6666666666666667,1.4054054054054055,1091363.3873873875
fi6,58,5.986784140969163,1.8083700440528634,1.552863436123348,374848.3193832599
fj0,70,5.529175050301811,1.7399396378269618,1.5015090543259557,636816.1358148893
fj2,70,5.965174129353234,1.7866224433388613,1.5561083471531232,544583.5472636815
fj8,51,5.676,1.688,1.64,489987.156
fk0,53,5.967905405405405,1.9375,1.587837837837838,533134.1266891892
fk3,88,5.648843026891807,1.6810506566604129,1.4718574108818012,460490.48686679173
fk7,65,5.487179487179487,1.641025641025641,1.2564102564102564,763760.3333333334
fk8,63,5.526639344262295,1.6977459016393444,1.3719262295081966,561820.5860655737
fk9,83,6.121756487025948,1.8542914171656686,1.5568862275449102,580989.259481038
fm4,65,6.669793621013133,2.230769230769231,1.7917448405253282,656521.9681050656
fm9,43,6.3283582089552235,2.08955223880597,1.5671641791044777,609297.8059701492
fo0,47,6.328205128205128,2.082051282051282,1.676923076923077,565509.9512820513
fo4,68,5.900816802800467,1.7596266044340723,1.5915985997666278,332399.983663944
fo8,61,4.914529914529915,1.4188034188034189,1.358974358974359,390967.5982905983
fp4,41,5.7317073170731705,1.6951219512195121,1.5548780487804879,378709.1951219512
fp6,60,5.0944669365722,1.5114709851551957,1.3184885290148447,619168.7840755736
fr0,53,5.583333333333333,1.7222222222222223,1.4074074074074074,424356.30555555556
fs4,68,5.813417190775682,1.7735849056603774,1.6331236897274632,584605.0587002096
fs6,56,5.139737991266376,1.497816593886463,1.4192139737991267,519212.86026200873
ft0,62,5.446666666666666,1.6466666666666667,1.4466666666666668,528965.3666666667
ft9,56,4.6117647058823525,1.411764705882353,1.2705882352941176,694287.5294117647
fu1,48,5.646746347941567,1.7583001328021248,1.5245683930942895,608993.604249668
fu4,56,5.888888888888889,1.9351851851851851,1.6388888888888888,554595.2222222222
fu5,62,6.065925925925926,1.8755555555555556,1.5733333333333333,514083.0851851852
fu8,58,5.676236044657097,1.7543859649122806,1.4784688995215312,599341.2488038278
fv4,43,5.8618421052631575,1.861842105263158,1.4671052631578947,618814.1907894737
fx7,56,5.239766081871345,1.6608187134502923,1.432748538011696,766569.2631578947
fx8,42,5.242857142857143,1.6142857142857143,1.3285714285714285,561659.2571428572
fy6,48,5.520958083832335,1.656686626746507,1.4191616766467066,645244.5189620758
fz5,59,5.739717223650386,1.736503856041131,1.4768637532133677,492206.55077120825
gb3,71,5.915841584158416,1.8341584158415842,1.5693069306930694,697354.603960396
gc5,58,6.012544802867383,1.842293906810036,1.560931899641577,533492.6093189964
gd7,86,5.45072463768116,1.5811594202898551,1.4405797101449276,591794.6217391305
gd8,69,6.005512679162073,1.8213891951488423,1.6229327453142226,524074.0926130099
ge5,67,5.575221238938053,1.761061946902655,1.4867256637168142,714054.7433628319
gf0,48,5.105960264900662,1.4370860927152318,1.3973509933774835,492330.06622516556
gf5,69,6.135802469135802,2.0864197530864197,1.5679012345679013,841895.3827160494
gg1,45,5.6800804828973845,1.7183098591549295,1.476861167002012,639035.1106639839
gg7,64,5.601351351351352,1.7027027027027026,1.5405405405405406,630106.4054054054
gh8,71,5.792763157894737,1.7598684210526316,1.6546052631578947,625613.7763157894
gi1,55,6.044554455445544,1.882013201320132,1.5858085808580857,581407.8028052805
gi2,85,7.044117647058823,2.1029411764705883,1.8308823529411764,534227.0514705882
gj2,60,6.486388384754991,2.0544464609800364,1.7313974591651542,525665.8021778584
gk3,72,5.293691080493111,1.6642494561276286,1.3589557650471356,719019.4923857868
gl2,63,5.851727982162765,1.8026755852842808,1.576365663322185,565020.071348941
gm1,67,5.135036496350365,1.594890510948905,1.3394160583941606,449178.0328467153
go3,86,6.503961965134707,1.988906497622821,1.7543581616481776,439665.8114104596
go4,45,6.296157450796626,2.0018744142455485,1.6588566073102156,429777.885660731
go8,69,5.786271450858035,1.8174726989079564,1.4867394695787832,548146.8985959438
gp0,47,7,1.8571428571428572,1.8571428571428572,480574.5714285714
gp8,85,6.472904624277457,2.161127167630058,1.6828034682080926,553583.7434971099
gq0,75,6.078333333333333,1.8416666666666666,1.6216666666666666,530367.0083333333
gq4,68,6.839743589743589,2.16025641025641,1.7692307692307692,302757.2628205128
gs8,48,6.182370820668693,1.817629179331307,1.6382978723404256,440603.9696048632
gt0,83,5.859848484848484,1.8257575757575757,1.5643939393939394,625005.7992424242
gu5,39,5.343283582089552,1.671641791044776,1.4029850746268657,264443.4029850746
gv3,66,6.300341296928328,1.8464163822525597,1.4129692832764504,559921.4027303754
gv8,75,6.093270365997639,1.8476977567886659,1.630460448642267,580117.1097992916
gv9,62,5.9467592592592595,1.8356481481481481,1.6342592592592593,494890.9212962963
gw1,48,5.788191190253046,1.7553889409559513,1.472352389878163,378620.07029053423
gw4,77,5.737113402061856,1.7422680412371134,1.5051546391752577,467877.6701030928
gw5,47,6.200183654729109,1.8824609733700643,1.617998163452709,479265.2653810836
gw7,63,5.245551601423488,1.601423487544484,1.4590747330960854,648815.7330960854
gw8,69,5.735849056603773,1.7106918238993711,1.5660377358490567,366192.1572327044
gx0,81,6.26567481402763,1.9442082890541976,1.6471838469713072,457983.3081827843
gx5,80,5.965863453815261,1.8493975903614457,1.6666666666666667,333116.7630522088
gx8,59,5.952983725135624,1.9113924050632911,1.5244122965641953,673908.3164556962
gz4,80,6.668161434977579,2.1591928251121075,1.7825112107623318,396325.9461883408
gz5,55,5.373056994818653,1.6839378238341969,1.4300518134715026,702472.932642487
ha7,47,5.7612903225806456,1.7096774193548387,1.5677419354838709,393936.85161290324
